code,name,source,cal,protein_g,carb_g,fat_g,fiber_g,serving_desc,serving_g
USDA-167619,"Squirrel, ground, meat (Alaska Native)",USDA,111,19.3,0,3.8,,,
USDA-167620,"Tea, tundra, herb and laborador combination (Alaska Native)",USDA,1,0,0.2,0,,,
USDA-167621,"Walrus, meat, dried (Alaska Native)",USDA,251,57,0,2.6,,,
USDA-167622,"Deer (venison), sitka, raw (Alaska Native)",USDA,116,21.5,0,2.7,,,
USDA-167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",USDA,870,0.4,0,96.5,,,
USDA-167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",USDA,465,12.6,0,46.1,,,
USDA-167625,"Oil, whale, bowhead (Alaska Native)",USDA,900,0,0,100,,,
USDA-167626,"Fish, whitefish, broad, liver (Alaska Native)",USDA,104,11,5.1,4.4,,,
USDA-167627,"Mush, blue corn with ash (Navajo)",USDA,54,0.7,11.7,0.5,1.1,,
USDA-167628,"Cornmeal, blue (Navajo)",USDA,398,10.4,76.9,5.4,8.7,,
USDA-167629,"Melon, banana (Navajo)",USDA,21,0.8,4.1,0.2,0.3,,
USDA-167630,Chilchen (Red Berry Beverage) (Navajo),USDA,44,0.8,8.7,0.6,,,
USDA-167631,"Corn, dried (Navajo)",USDA,386,9.9,74.9,5.2,,,
USDA-167632,"Squash, Indian, cooked, boiled (Navajo)",USDA,16,0.3,3.2,0.2,1.5,,
USDA-167633,"Bread, kneel down (Navajo)",USDA,195,4.3,39.5,2.2,,,
USDA-167634,"Mutton, cooked, roasted (Navajo)",USDA,234,33.4,0.1,11.1,,,
USDA-167635,"Frybread, made with lard (Navajo)",USDA,330,6.7,48.3,12.2,,,
USDA-167636,Tamales (Navajo),USDA,153,6.3,18.1,6.1,3.1,,
USDA-167637,"Stew, steamed corn (Navajo)",USDA,112,8.8,10.8,3.8,2.3,,
USDA-167638,"Fish, halibut, raw, with skin (Alaska Native)",USDA,116,20.5,1.8,2.9,0,,
USDA-167639,"Fish, salmon, coho (silver), raw (Alaska Native)",USDA,140,22.6,0,5.6,0,,
USDA-167640,"Blueberries, wild, raw (Alaska Native)",USDA,61,1.2,12.3,0.8,2.6,,
USDA-167641,"Oil, spotted seal (Alaska Native)",USDA,894,0,0,99.3,0,,
USDA-167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",USDA,161,27.3,0,5.8,0,,
USDA-167643,"Fish, whitefish, eggs (Alaska Native)",USDA,104,14.7,4.9,2.9,0,,
USDA-167644,"Caribou, rump meat, half dried (Alaska Native)",USDA,255,52.1,0,5.2,0,,
USDA-167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",USDA,206,35.2,0,7.3,0,,
USDA-167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",USDA,141,24.5,0,4.8,0,,
USDA-167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",USDA,209,23.2,0,13,0,,
USDA-167648,"Fish, sheefish, raw (Alaska Native)",USDA,115,22.3,0,2.8,0,,
USDA-167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",USDA,97,21.4,0,1.3,,,
USDA-167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",USDA,270,62.4,0,2.3,,,
USDA-167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",USDA,146,32.5,0,1.8,,,
USDA-167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",USDA,98,19.7,0,2.1,0,,
USDA-167653,"Corn, dried, yellow (Northern Plains Indians)",USDA,419,14.5,66.3,10.6,20.5,,
USDA-167654,"Smelt, dried (Alaska Native)",USDA,386,56.2,0,17.9,0,,
USDA-167655,"Frybread, made with lard (Apache)",USDA,309,8.4,46,10.1,1.7,,
USDA-167656,Corned beef and potatoes in tortilla (Apache),USDA,224,7.9,29.4,8.3,1.5,,
USDA-167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",USDA,229,13.2,19.3,11.1,1.8,,
USDA-167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",USDA,219,12.6,17.9,10.8,1.5,,
USDA-167659,"Restaurant, Latino, chicken and rice, entree, prepared",USDA,174,12,20,5.1,1.2,,
USDA-167660,"Restaurant, Latino, empanadas, beef, prepared",USDA,335,11.3,31.2,18.4,2,,
USDA-167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",USDA,229,5.6,31.5,9,5.8,,
USDA-167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",USDA,256,11.7,22.4,13.3,2.9,,
USDA-167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",USDA,232,11.5,23,10.4,2.6,,
USDA-167664,"Restaurant, Latino, tamale, corn",USDA,186,3.5,26.7,7.2,3.2,,
USDA-167665,"Restaurant, Mexican, spanish rice",USDA,185,3.3,31.2,5.3,1.2,,
USDA-167666,"Restaurant, Mexican, refried beans",USDA,156,6.9,16.8,6.8,8,,
USDA-167667,"Restaurant, Chinese, egg rolls, assorted",USDA,250,8.3,27.3,11.9,2.6,,
USDA-167668,"Restaurant, Chinese, fried rice, without meat",USDA,174,4.1,32.8,3,1.1,,
USDA-167669,"CRACKER BARREL, steak fries",USDA,255,3.3,30.9,13.2,3.5,,
USDA-167670,"CRACKER BARREL, grilled sirloin steak",USDA,203,31.5,0,8.5,,,
USDA-167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",USDA,192,6.5,15.6,11.5,0.7,,
USDA-167672,"DENNY'S, french fries",USDA,282,3.4,35.2,14.1,3.5,,
USDA-167673,"DENNY'S, top sirloin steak",USDA,182,28.9,0.1,7.3,,,
USDA-167674,"Restaurant, Chinese, lemon chicken",USDA,252,11.9,20.6,13.6,1,,
USDA-167675,"Restaurant, Chinese, general tso's chicken",USDA,295,12.9,24,16.4,0.9,,
USDA-167676,"Restaurant, Chinese, kung pao chicken",USDA,129,9.8,6.9,7,1.5,,
USDA-167677,"Restaurant, Chinese, vegetable lo mein, without meat",USDA,121,4.8,20.2,2.4,1.3,,
USDA-167678,"Restaurant, Chinese, chicken and vegetables",USDA,95,8.2,5.4,4.6,0.9,,
USDA-167679,"Restaurant, Chinese, orange chicken",USDA,262,14.5,22.5,12.7,0.8,,
USDA-167680,"Restaurant, Italian, spaghetti with meat sauce",USDA,121,5.8,16.4,3.6,1.6,,
USDA-167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",USDA,218,0.5,87.4,0,0.1,,
USDA-167682,"Pectin, liquid",USDA,11,0,2.1,0,2.1,,
USDA-167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",USDA,221,6.4,26.1,10.1,0.8,,
USDA-167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",USDA,160,1.5,7,14,0,,
USDA-167685,"Bologna, beef and pork, low fat",USDA,230,11.5,2.6,19.3,0,,
USDA-167686,"Milk dessert, frozen, milk-fat free, chocolate",USDA,167,4.3,37.7,1,0,,
USDA-167687,"Whipped topping, frozen, low fat",USDA,224,3,23.6,13.1,0,,
USDA-167688,"Cream substitute, powdered, light",USDA,431,1.9,73.4,15.7,0,,
USDA-167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",USDA,529,10.2,56.9,29.3,4,,
USDA-167690,"Babyfood, apple yogurt dessert, strained",USDA,93,0.8,19.5,1.6,0.5,,
USDA-167691,"Vegetable oil-butter spread, reduced calorie",USDA,465,0,0,53,0,,
USDA-167692,"Salad dressing, blue or roquefort cheese dressing, light",USDA,86,2.1,13.2,2.7,0,,
USDA-167693,"Salad dressing, french dressing, reduced calorie",USDA,227,0.4,27,13,0,,
USDA-167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",USDA,307,22.7,0.7,23,0,,
USDA-167695,"Mayonnaise, made with tofu",USDA,322,6,3.1,31.8,1.1,,
USDA-167696,"Frankfurter, beef, low fat",USDA,140,12,1.6,9.5,0,,
USDA-167697,"Milk, buttermilk, fluid, cultured, reduced fat",USDA,56,4.1,5.3,2,0,,
USDA-167698,"Pork sausage rice links, brown and serve, cooked",USDA,407,13.7,2.4,37.6,0,,
USDA-167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",USDA,115,1.5,25.6,1,1.8,,
USDA-167700,"Salad Dressing, mayonnaise-like, fat-free",USDA,84,0.2,15.5,2.7,1.9,,
USDA-167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",USDA,443,3.2,71.2,17.5,2.9,,
USDA-167702,"Oil, flaxseed, cold pressed",USDA,884,0.1,0,100,0,,
USDA-167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",USDA,74,12.4,3.2,1,0.6,,
USDA-167704,"Salad dressing, bacon and tomato",USDA,326,1.8,2,35,0.2,,
USDA-167705,"Cheese, parmesan, low sodium",USDA,451,41.6,3.7,30,0,,
USDA-167706,"Jams, preserves, marmalade, reduced sugar",USDA,151,0,37.6,0.1,1.5,,
USDA-167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",USDA,227,0.3,91,0.2,2.2,,
USDA-167708,"Tomato and vegetable juice, low sodium",USDA,22,0.6,4.6,0.1,0.8,,
USDA-167709,"Turkey, wing, smoked, cooked, with skin, bone removed",USDA,221,27.4,0,12.4,0,,
USDA-167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",USDA,200,27.9,0,9.8,0,,
USDA-167711,"Beverages, Chocolate-flavored drink, whey and milk based",USDA,49,0.6,10.7,0.4,0.6,,
USDA-167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",USDA,541,37,1.4,41.8,0,,
USDA-167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",USDA,162,29.3,0,5,0,,
USDA-167714,"Hearts of palm, raw",USDA,115,2.7,25.6,0.2,1.5,,
USDA-167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",USDA,339,10.9,80.7,2.1,14.7,,
USDA-167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",USDA,67,10.9,3,1,0,,
USDA-167717,Yeast extract spread,USDA,185,23.9,20.4,0.9,6.5,,
USDA-167718,"Babyfood, juice, pear",USDA,43,0,11.9,0,0.1,,
USDA-167719,"Chicken, meatless, breaded, fried",USDA,234,21.3,8.5,12.8,4.3,,
USDA-167720,"Babyfood, meat, beef with vegetables, toddler",USDA,69,3.5,8.7,2.1,1.8,,
USDA-167721,"Frozen novelties, juice type, juice with cream",USDA,115,1.4,24.1,1.4,0.1,,
USDA-167722,Tofu yogurt,USDA,94,3.5,16,1.8,0.2,,
USDA-167723,"Alcoholic beverage, rice (sake)",USDA,134,0.5,5,0,0,,
USDA-167724,"Millet, puffed",USDA,354,13,80,3.4,2.7,,
USDA-167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",USDA,380,10,78,3,8,,
USDA-167726,"Babyfood, mixed fruit yogurt, strained",USDA,75,0.8,16.2,0.8,0.4,,
USDA-167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",USDA,141,5.2,19.9,4.5,0,,
USDA-167728,"Babyfood, rice and apples, dry",USDA,396,6.7,86.9,2.4,3,,
USDA-167729,"Babyfood, juice, apple - cherry",USDA,47,0.2,11.2,0.1,0.3,,
USDA-167730,"Milk, imitation, non-soy",USDA,46,1.6,5.3,2,0,,
USDA-167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",USDA,389,6.6,88.5,0.9,2.6,,
USDA-167732,"Babyfood, banana no tapioca, strained",USDA,91,1,21.3,0.2,1.6,,
USDA-167733,"Babyfood, banana apple dessert, strained",USDA,68,0.3,16.3,0.2,1,,
USDA-167734,"Breakfast bar, corn flake crust with fruit",USDA,376,4.4,72.8,7.5,2.1,,
USDA-167735,"Cheese, mozzarella, low sodium",USDA,280,27.5,3.1,17.1,0,,
USDA-167736,"Mayonnaise dressing, no cholesterol",USDA,688,0,0.3,77.8,0,,
USDA-167737,"Oil, corn, peanut, and olive",USDA,884,0,0,100,0,,
USDA-167738,"Pie fillings, blueberry, canned",USDA,181,0.4,44.4,0.2,2.6,,
USDA-167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",USDA,287,0.1,71.6,0,0,,
USDA-167740,"Puddings, chocolate flavor, low calorie, regular, dry mix",USDA,365,10.1,74.4,3,10.1,,
USDA-167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",USDA,351,1.6,86,0.1,0.9,,
USDA-167742,"Mollusks, scallop, (bay and sea), cooked, steamed",USDA,111,20.5,5.4,0.8,0,,
USDA-167743,"Syrup, Cane",USDA,269,0,73.1,0,0,,
USDA-167744,"Mollusks, snail, raw",USDA,90,16.1,2,1.4,0,,
USDA-167745,"Turtle, green, raw",USDA,89,19.8,0,0.5,0,,
USDA-167746,"Lemons, raw, without peel",USDA,29,1.1,9.3,0.3,2.8,,
USDA-167747,"Lemon juice, raw",USDA,22,0.4,6.9,0.2,0.3,,
USDA-167748,"Lemon juice from concentrate, canned or bottled",USDA,17,0.5,5.6,0.1,0.7,,
USDA-167749,"Lemon peel, raw",USDA,47,1.5,16,0.3,10.6,,
